"","GSM239323.CEL.gz","GSM239324.CEL.gz","GSM239326.CEL.gz","GSM239328.CEL.gz","GSM239329.CEL.gz","GSM239331.CEL.gz","GSM239332.CEL.gz","GSM239333.CEL.gz","GSM239334.CEL.gz","GSM239335.CEL.gz"
"1007_s_at",467.966707114787,333.913995574035,378.926320223026,510.911767190975,481.113794088825,431.324029124607,391.857580492835,474.895269314872,415.593701016174,464.562320787018
"1053_at",251.100680861581,317.899620108539,342.929964879277,340.962380411483,259.089811809002,269.907768297771,216.003829755111,176.080594040558,276.818984705776,275.12945401207
"117_at",202.569710085097,232.76381571501,276.666666226373,224.296473028084,227.518032029942,324.524944205589,178.388973192392,286.251138484165,203.648660885507,107.977397240781
"121_at",1852.83327562976,1246.14958610906,1390.60886400499,1446.58337711045,1558.34667152974,1533.98459457981,1180.81035243673,1461.21352457339,1462.56286244183,1524.57866058527
"1255_g_at",55.2032200280678,68.2135855997298,75.8322626741924,69.3740783853229,45.5854468612897,54.8829253376791,49.7190686388935,71.4835961882835,65.5592212515934,65.2930740965418
"1294_at",627.385845477052,735.666790878959,695.702860518234,778.259417671709,894.223661351164,935.06465098439,871.362438598816,1308.88300792541,576.332403353138,722.664000037927
"1316_at",242.514210570057,166.788771752344,191.810707431962,124.254395062016,134.519184730981,146.315322832666,131.794754072892,127.365329892174,167.618546976415,182.487226268186
"1320_at",103.875020652071,21.3405354824016,49.5036479253648,59.0648003232698,26.6732651981136,76.7845154012314,112.771862224072,17.8836649202873,73.0420548804048,44.9971349846123
"1405_i_at",960.92593781186,5620.70931600167,4276.84968564603,1609.60108815386,2049.52238963438,827.77731298948,2521.96317214869,2515.30608703099,2337.07817986117,1902.81772458949
"1431_at",98.3912919060013,62.056868747861,104.745915330726,79.4876194245477,71.3781163782143,120.566989808519,119.122999962107,81.7993794104976,92.3852329191142,98.432137478891
"1438_at",89.6544593305932,131.095709274945,40.9361156190047,82.9785145840477,97.4158230013361,206.252211210891,38.0530579438029,50.3279486845549,105.120968092919,108.363022283562
"1487_at",652.600231300553,423.733635264565,421.860073502666,509.161924999322,522.01796676122,401.639899515806,477.861574250953,770.474446580023,533.349790401404,439.895791155289
"1494_f_at",447.975870426238,349.465929026726,396.145776358075,434.518381654098,450.867657053011,401.721334711031,387.936626182318,377.290752832304,355.943884265236,393.888122349557
"1598_g_at",1048.07377582548,904.479004025337,784.236672684272,904.129090940286,1097.3662442207,1109.55345708975,907.052704419734,1051.14674920641,1020.41146826558,1106.18383183987
"160020_at",767.787743300662,617.88701120117,601.078641395045,555.419262074082,517.744037758436,644.235880168402,540.611480284329,613.447803397423,577.713838149654,656.579896453795
"1729_at",630.403542401835,366.808829552335,681.093500773981,591.834650163932,528.909988585806,418.671461601331,454.964335859292,540.855239830287,543.308782193177,627.523261870318
"177_at",260.101438525448,153.203522894973,73.0869957183514,231.558383733513,232.258930926524,223.577242286025,114.153350984762,215.540591198688,198.407439526735,191.592204727766
"1773_at",225.702903922268,102.873694960497,89.9722450183656,142.330855271891,188.795770549892,195.441275903907,197.777425028941,231.815769763921,122.856373041683,169.886881869948
"179_at",1680.34526026226,999.247503544526,974.470677306723,798.267645684364,1223.71224520402,1015.47365660827,1004.90187677329,1123.04747410296,1281.19799486941,760.162002610501
"1861_at",252.58129090113,243.552326254386,215.090515463413,223.819037317266,228.038389339432,228.139602787313,200.23500564148,273.226603845959,228.316531263285,247.937450313718
"200000_s_at",1676.94929909617,1543.95082706119,1843.37524352514,1985.49606759405,2270.82210833773,2289.99569207995,2401.76964280826,2250.86262599325,2154.6387461106,1762.97003642825
"200001_at",3848.54683152915,3613.13486477026,3378.83905461902,3600.59611060254,4059.53278300161,4149.26195119624,4308.38399871574,5071.83193399534,4460.4328171737,3823.38785113712
"200002_at",20176.5677885144,14905.618318328,19199.0423660891,15608.2165600384,17840.3774695649,18051.3752814245,15695.3509175396,13997.5280126448,17683.1421147235,14259.2232463116
"200003_s_at",32387.4695260585,19374.769941938,25906.1103284003,24194.3061340899,25939.3465056048,24725.1301361726,25853.9437431885,25915.1723944348,25393.8286794402,22067.9420087707
"200004_at",5950.82298227286,7514.23251244573,6435.30854414662,7783.26729076893,5784.53763699035,7488.9485880244,6218.26332480188,6369.82264384739,7385.4739475404,7615.06599794857
"200005_at",4458.65931978993,3243.97055392461,4100.47569483726,3824.42387955815,4497.76753990368,4408.65807504613,4976.52748774943,4054.38664352371,4755.59124855829,4551.14428537216
"200006_at",8774.73511429606,7444.21245839702,8050.29650832088,7626.16610651927,7411.56948088701,7400.23640209278,7717.07864344725,6315.48033131664,6704.12566737694,6055.95521437396
"200007_at",7589.7672690582,6752.28145815141,7104.30259084841,5978.06568782656,7749.48984331868,6801.27777885606,5038.61723143608,5278.5563516739,6732.40996700191,6194.38872408618
"200008_s_at",4138.25464211976,2472.91644870126,3214.15355343356,2930.82320667951,2183.76843137065,2623.3282661238,2651.73013673871,2394.72126036995,3455.19009802708,3318.89389622431
"200009_at",9050.58717663841,5714.97756825238,7152.98343274781,7053.55580742326,6017.16994251004,6534.10415178765,6145.5391968895,5949.02860703778,6632.11011957796,6481.07141729226
"200010_at",21206.7187027796,15938.8110116871,18518.3864146191,18966.9727901889,16845.7336831222,17322.9946329413,14604.9140804763,17021.5524998895,18518.7445088314,14458.6186619817
"200011_s_at",1095.45823639733,1523.20301308542,1479.96679823845,1481.34115769782,1556.33859914205,1467.0365732784,1308.56049252005,1468.89363378363,1515.20250793765,1597.78636156952
"200012_x_at",28570.7850277007,16688.5626355603,24280.1525130943,20411.8859991127,26445.2956020845,26824.9510269065,28029.9440769876,23913.2748454568,23582.1943919774,18928.2065713614
"200013_at",24049.6566787811,14414.6357440722,19536.1559357387,15161.3236278862,16256.2695738163,17410.3480812089,16147.6905613662,16225.2832242955,18885.4920950903,14856.1306601318
"200014_s_at",2964.85494021029,3052.19981556987,3047.70746741289,2681.79648271105,2505.4167067933,2513.46081394836,2446.32451975696,2006.80872605083,2408.80354004675,2344.38890385573
"200015_s_at",2278.67900236787,3091.7722876768,2632.27918078072,2742.76565090328,2952.48282277467,2369.05850847103,2674.30660265947,2458.76062562753,2317.19320162351,2469.99573020904
"200016_x_at",22891.0992973324,17159.8670746088,18694.8939595994,19910.083865492,20785.8343862617,22527.7185115366,16282.1780782161,22526.8627040763,19111.4823703444,13091.7237052624
"200017_at",14571.7035782493,15145.7678710708,19908.9850444876,16779.863407858,18929.4646303123,18104.8102027272,22015.6749165003,17519.0902082119,21565.2878801814,16953.1823862399
"200018_at",25336.5840896404,17615.2666543514,22719.753654926,22979.2635930631,27084.6926654328,27785.0492226957,25033.2126687221,22536.2514796224,25521.0229151968,20395.4858154665
